# XviD 2pass stat file (core version 1.4.-127)
# Please do not modify this file

i 2 920 0 0 36737 3936
p 2 0 334 586 712 520
p 2 6 914 0 18490 1718
p 2 19 901 0 18603 1803
p 2 5 914 1 17868 1766
p 2 193 727 0 23914 2556
p 2 5 915 0 15441 1907
p 2 3 917 0 17743 1825
p 2 12 908 0 20781 2009
p 2 0 916 4 11894 1729
p 2 4 916 0 19445 2033
p 2 373 547 0 18433 2715
p 2 36 884 0 20792 2212
p 2 265 655 0 21303 2697
p 2 55 865 0 19001 2244
p 2 67 853 0 20071 2210
p 2 20 900 0 15851 2101
p 2 4 916 0 13533 1898
p 2 70 850 0 16510 2329
p 2 178 742 0 18242 2591
p 2 469 451 0 20371 3001
p 2 79 836 5 14130 2054
p 2 388 532 0 18903 2893
p 2 536 384 0 16449 2929
p 2 444 476 0 20406 2843
p 2 449 471 0 16876 2654
p 2 0 854 66 13826 1388
p 2 0 834 86 16389 1242
p 2 0 777 143 13548 1084
p 2 0 702 218 9556 935
p 2 0 752 168 10651 1006
p 2 0 755 165 13550 1061
p 2 0 760 160 15145 1066
p 2 0 727 193 10851 1002
p 2 0 731 189 12291 1033
p 2 0 758 162 15594 1082
p 2 0 728 192 12390 1014
p 2 0 696 224 11778 961
p 2 0 743 177 18432 1108
p 2 0 691 229 6819 952
p 2 0 726 194 5454 951
p 2 0 807 113 14140 1204
i 2 920 0 0 37623 3961
p 2 0 914 6 18006 1675
p 2 4 913 3 16167 1745
p 2 5 914 1 11611 1563
p 2 3 917 0 14930 1798
p 2 13 907 0 16197 1727
p 2 221 699 0 21149 2681
p 2 3 917 0 15257 1798
p 2 1 919 0 16628 1920
p 2 1 919 0 18657 1810
p 2 13 907 0 20578 1979
p 2 150 770 0 18188 2412
p 2 14 906 0 21814 2177
p 2 47 873 0 19478 2165
p 2 343 577 0 22131 2878
p 2 3 915 2 15366 1748
p 2 16 904 0 19728 2129
p 2 194 726 0 22790 2574
p 2 59 861 0 17807 2300
p 2 530 390 0 21534 3029
p 2 384 536 0 18472 2787
p 2 393 527 0 21030 2779
p 2 523 397 0 23101 3062
p 2 322 598 0 14555 2594
p 2 453 467 0 15594 2772
p 2 86 834 0 16898 1949
p 2 2 903 15 11280 1672
p 2 0 858 62 9582 1292
p 2 0 830 90 9700 1243
p 2 0 837 83 7314 1149
p 2 0 781 139 9464 1055
p 2 0 785 135 7445 1054
p 2 0 773 147 9429 1052
p 2 0 760 160 8416 1027
p 2 0 771 149 13843 1110
p 2 0 766 154 11315 1076
p 2 0 676 244 3611 891
p 2 0 771 149 11372 1051
p 2 0 761 159 11224 1040
p 2 0 767 153 12978 1073
p 2 0 797 123 16769 1137
p 2 0 729 191 7942 944
i 2 920 0 0 37245 3966
p 2 56 858 6 12262 1847
p 2 10 909 1 20167 1866
p 2 5 915 0 15526 1654
p 2 4 916 0 13300 1840
p 2 0 919 1 13624 1690
p 2 0 920 0 13227 1810
p 2 246 674 0 16803 2592
p 2 20 900 0 19754 2137
p 2 3 917 0 12192 1785
p 2 1 919 0 16826 1921
p 2 7 913 0 17958 1835
p 2 350 570 0 22413 2846
p 2 3 912 5 14149 1700
p 2 55 865 0 19096 2249
p 2 75 845 0 18939 2235
p 2 403 517 0 20053 2911
p 2 328 592 0 19364 2862
p 2 150 770 0 19593 2582
p 2 97 823 0 20569 2331
p 2 165 755 0 23579 2631
p 2 31 889 0 13675 2059
p 2 389 531 0 19210 2882
p 2 535 385 0 23368 2930
p 2 517 403 0 22262 2905
p 2 2 894 24 10647 1327
p 2 0 838 82 9952 1201
p 2 0 852 68 16471 1254
p 2 0 792 128 12412 1119
p 2 0 809 111 12704 1152
p 2 0 784 136 16738 1164
p 2 0 759 161 11960 1055
p 2 0 771 149 13535 1080
p 2 0 727 193 7812 982
p 2 0 795 125 14533 1115
p 2 0 786 134 13227 1080
p 2 0 759 161 11948 1036
p 2 0 759 161 8671 1011
p 2 0 761 159 14207 1094
p 2 0 722 198 10787 965
p 2 0 731 189 8522 970
p 2 0 813 107 9995 1171
i 2 920 0 0 37336 3959
p 2 4 904 12 10670 1561
p 2 0 917 3 14998 1689
p 2 69 851 0 16854 2085
p 2 3 917 0 17488 1957
p 2 5 914 1 14518 1858
p 2 3 917 0 14868 1966
p 2 0 920 0 15805 1835
p 2 2 918 0 18700 1975
p 2 6 913 1 15456 1807
p 2 7 913 0 16035 1958
p 2 429 491 0 19124 2877
p 2 13 907 0 19570 2110
p 2 29 891 0 18107 2076
p 2 52 868 0 17263 2253
p 2 168 752 0 23002 2528
p 2 109 811 0 19967 2390
p 2 66 854 0 18802 2271
p 2 140 780 0 22884 2569
p 2 16 904 0 14497 2016
p 2 88 832 0 20798 2461
p 2 526 394 0 22050 3028
p 2 518 402 0 24651 3037
p 2 259 661 0 19669 2511
p 2 452 468 0 20258 2836
p 2 48 872 0 19775 1849
p 2 0 906 14 14995 1629
p 2 0 867 53 12152 1299
p 2 0 837 83 12042 1239
p 2 0 812 108 11742 1131
p 2 0 794 126 12615 1118
p 2 0 789 131 12723 1103
p 2 0 796 124 12048 1087
p 2 0 816 104 13601 1140
p 2 0 805 115 12787 1121
p 2 0 776 144 13051 1109
p 2 0 761 159 14627 1075
p 2 0 809 111 15400 1147
p 2 0 819 101 8422 1095
p 2 0 757 163 5974 1002
p 2 0 774 146 10903 1033
p 2 0 749 171 7482 983
i 2 920 0 0 38182 3952
p 2 39 879 2 11580 1836
p 2 1 914 5 13083 1663
p 2 1 911 8 14690 1551
p 2 210 710 0 16333 2562
p 2 83 837 0 20845 2282
p 2 14 906 0 20491 2052
p 2 0 920 0 16699 1866
p 2 8 912 0 18875 2027
p 2 112 808 0 14463 2223
p 2 7 913 0 19741 2063
p 2 11 909 0 16039 1960
p 2 7 913 0 17317 2054
p 2 0 920 0 17525 1854
p 2 17 903 0 19891 2044
p 2 324 596 0 20312 2745
p 2 66 854 0 18749 2340
p 2 304 616 0 22750 2785
p 2 178 742 0 18567 2634
p 2 126 794 0 16264 2316
p 2 278 642 0 22890 2786
p 2 496 424 0 23785 3036
p 2 526 394 0 16984 2945
p 2 438 482 0 22127 2845
p 2 83 837 0 19002 2198
p 2 3 917 0 12510 1551
p 2 2 898 20 10565 1517
p 2 0 876 44 13593 1413
p 2 0 856 64 15096 1357
p 2 0 850 70 12168 1179
p 2 0 830 90 10589 1097
p 2 0 790 130 11782 1068
p 2 0 792 128 12856 1097
p 2 0 802 118 9849 1077
p 2 0 822 98 16401 1233
p 2 0 789 131 17651 1182
i 2 920 0 0 50992 4367
i 2 920 0 0 63935 4638
p 2 0 916 4 25703 1463
p 2 0 913 7 26731 1436
p 2 0 914 6 26429 1439
p 2 0 909 11 21035 1355
p 2 0 910 10 29894 1475
p 2 0 904 16 24561 1373
p 2 0 900 20 19154 1340
p 2 0 916 4 29173 1475
p 2 0 909 11 25696 1405
p 2 0 914 6 23130 1401
p 2 0 904 16 18850 1348
p 2 0 894 26 15288 1239
p 2 0 914 6 24508 1499
p 2 0 910 10 28217 1520
p 2 0 899 21 21083 1327
p 2 0 898 22 20904 1316
p 2 0 896 24 14966 1267
p 2 0 900 20 23507 1311
p 2 0 908 12 24023 1421
p 2 0 871 49 10361 1213
p 2 0 874 46 14754 1213
p 2 0 895 25 17405 1331
p 2 0 895 25 21575 1390
p 2 0 870 50 11219 1212
p 2 0 902 18 15194 1312
p 2 0 857 63 9752 1209
p 2 0 902 18 26236 1459
p 2 0 899 21 19306 1354
p 2 0 894 26 19850 1269
p 2 0 906 14 29260 1452
p 2 0 903 17 24439 1368
p 2 0 885 35 20593 1297
p 2 0 903 17 25701 1354
p 2 0 904 16 21807 1353
p 2 0 916 4 28291 1523
p 2 0 891 29 16268 1260
p 2 0 899 21 17487 1286
p 2 0 889 31 23038 1346
p 2 0 877 43 12054 1203
p 2 0 903 17 27011 1426
p 2 0 886 34 21314 1343
p 2 0 885 35 13217 1300
p 2 0 909 11 18478 1389
p 2 0 896 24 12929 1280
p 2 0 905 15 19348 1370
p 2 0 899 21 20204 1334
p 2 0 904 16 19051 1355
p 2 0 906 14 29224 1482
p 2 0 901 19 20501 1363
p 2 0 884 36 17330 1263
p 2 0 896 24 19219 1315
p 2 0 892 28 24243 1383
p 2 0 895 25 22807 1358
p 2 0 896 24 26472 1441
p 2 0 897 23 26132 1395
p 2 0 902 18 20941 1316
p 2 0 906 14 27021 1420
p 2 0 894 26 17198 1243
p 2 0 908 12 18164 1329
p 2 0 868 52 13125 1195
p 2 0 891 29 20306 1313
p 2 0 910 10 31627 1480
p 2 0 891 29 22573 1335
p 2 0 910 10 30476 1485
p 2 0 897 23 20993 1358
p 2 0 884 36 18299 1279
p 2 0 894 26 20898 1344
p 2 0 895 25 17130 1307
p 2 0 880 40 19182 1273
p 2 0 907 13 26115 1432
p 2 0 902 18 21147 1376
p 2 0 875 45 15092 1226
p 2 0 916 4 23545 1385
p 2 0 905 15 21836 1333
p 2 0 884 36 17322 1254
p 2 0 873 47 11510 1185
p 2 0 870 50 12293 1211
p 2 0 874 46 10771 1183
p 2 0 853 67 11986 1194
p 2 0 881 39 12992 1256
p 2 0 888 32 16660 1268
p 2 0 882 38 16588 1235
p 2 0 913 7 23944 1443
p 2 0 899 21 15200 1286
p 2 0 910 10 21524 1432
p 2 0 895 25 17896 1331
p 2 0 909 11 29788 1516
p 2 0 896 24 19218 1320
p 2 0 867 53 13617 1192
p 2 0 880 40 16730 1241
p 2 0 902 18 27653 1426
p 2 0 902 18 22596 1344
p 2 0 896 24 23406 1293
p 2 0 896 24 20958 1301
p 2 0 906 14 24417 1422
p 2 0 896 24 22224 1335
p 2 0 880 40 15756 1248
p 2 0 880 40 17795 1324
p 2 0 894 26 15632 1283
p 2 0 871 49 10407 1180
